単語,和訳,難易度,品詞,文脈,動画URL,動画タイトル
interested in,〜に興味がある,Actually being interested in the company you apply for is helpful.,初級,フレーズ,https://youtu.be/d3CIJ1BiBvQ?si=scI01UgdiJIf96pG,にじさんじ面接の裏側をぶっちゃけ
contender,（優勝などの）候補者、競争相手,Makes you a better contender for Niji Sanji,上級,名詞,https://youtu.be/d3CIJ1BiBvQ?si=scI01UgdiJIf96pG,にじさんじ面接の裏側をぶっちゃけ
applied,応募した、申し込んだ,that's why I applied,中級,動詞,https://youtu.be/d3CIJ1BiBvQ?si=scI01UgdiJIf96pG,にじさんじ面接の裏側をぶっちゃけ
big fan of,〜の大ファンだ,I'm actually a big fan of Niji Sanji itself,中級,フレーズ,https://youtu.be/d3CIJ1BiBvQ?si=scI01UgdiJIf96pG,にじさんじ面接の裏側をぶっちゃけ
nervous,緊張している、不安な,I was really nervous in my interview,初級,形容詞,https://youtu.be/d3CIJ1BiBvQ?si=scI01UgdiJIf96pG,にじさんじ面接の裏側をぶっちゃけ
withdraw,（応募などを）取り下げる、撤回する,"If you cry during an interview, just withdraw",上級,動詞,https://youtu.be/d3CIJ1BiBvQ?si=scI01UgdiJIf96pG,にじさんじ面接の裏側をぶっちゃけ
crack under pressure,プレッシャーに負ける、重圧に押しつぶされる,My weaknesses are I crack under pressure very easily,上級,慣用句,https://youtu.be/d3CIJ1BiBvQ?si=scI01UgdiJIf96pG,にじさんじ面接の裏側をぶっちゃけ
interacting with,〜と交流する、相互作用する,Interacting with my chat and talking to an audience,中級,句動詞,https://youtu.be/d3CIJ1BiBvQ?si=scI01UgdiJIf96pG,にじさんじ面接の裏側をぶっちゃけ
comfortable,気楽な、心地よい,I'm comfortable and Interacting with my chat,初級,形容詞,https://youtu.be/d3CIJ1BiBvQ?si=scI01UgdiJIf96pG,にじさんじ面接の裏側をぶっちゃけ
multiple languages,多言語、複数の言語,I can speak multiple languages,中級,名詞,https://youtu.be/d3CIJ1BiBvQ?si=scI01UgdiJIf96pG,にじさんじ面接の裏側をぶっちゃけ
confident in,〜に自信がある,even if it's something I'm not confident in,中級,形容詞,https://youtu.be/d3CIJ1BiBvQ?si=scI01UgdiJIf96pG,にじさんじ面接の裏側をぶっちゃけ
strengths and weaknesses,長所と短所,Why what are your strengths and weaknesses?,中級,名詞,https://youtu.be/d3CIJ1BiBvQ?si=scI01UgdiJIf96pG,にじさんじ面接の裏側をぶっちゃけ
day-to-day life,日常生活,not very useful to me in my normal day-to-day life,中級,名詞,https://youtu.be/d3CIJ1BiBvQ?si=scI01UgdiJIf96pG,にじさんじ面接の裏側をぶっちゃけ
auditioning for,〜のオーディションを受ける,Am I re auditioning for an EG?,上級,句動詞,https://youtu.be/d3CIJ1BiBvQ?si=scI01UgdiJIf96pG,にじさんじ面接の裏側をぶっちゃけ
job interview,就職面接,I feel like I'm at a job interview.,中級,名詞,https://youtu.be/d3CIJ1BiBvQ?si=scI01UgdiJIf96pG,にじさんじ面接の裏側をぶっちゃけ
physically,物理的に、肉体的に,Like ASMR or do you mean like physically the gifts?,初級,副詞,https://youtu.be/-o_vi536bpA?si=YB5Z1ZThQZelDsP5,耳かきして?!化け物コメントへのペトラの反応
membership,会員資格、メンバーシップ,They joined membership and immediately gifted.,初級,名詞,https://youtu.be/-o_vi536bpA?si=YB5Z1ZThQZelDsP5,耳かきして?!化け物コメントへのペトラの反応
immediately,すぐに、即座に,They joined membership and immediately gifted.,初級,副詞,https://youtu.be/-o_vi536bpA?si=YB5Z1ZThQZelDsP5,耳かきして?!化け物コメントへのペトラの反応
gifted,贈り物をする、贈与する,immediately gifted.,初級,動詞,https://youtu.be/-o_vi536bpA?si=YB5Z1ZThQZelDsP5,耳かきして?!化け物コメントへのペトラの反応
wording,言葉遣い、表現,The wording of the ear cleaning comment was just so funny,中級,名詞,https://youtu.be/-o_vi536bpA?si=YB5Z1ZThQZelDsP5,耳かきして?!化け物コメントへのペトラの反応
comment,コメント、意見,The wording of the ear cleaning comment was just so funny,初級,名詞,https://youtu.be/-o_vi536bpA?si=YB5Z1ZThQZelDsP5,耳かきして?!化け物コメントへのペトラの反応
one day,いつか、ある日,Maybe one day I will do ASMR,初級,フレーズ,https://youtu.be/-o_vi536bpA?si=YB5Z1ZThQZelDsP5,耳かきして?!化け物コメントへのペトラの反応
embarrassing,恥ずかしい、きまりが悪い,Embarrassing. I'm never I'm not gonna do embarrassing shit like that,初級,形容詞,https://youtu.be/-o_vi536bpA?si=YB5Z1ZThQZelDsP5,耳かきして?!化け物コメントへのペトラの反応
stuff,もの、こと,I was like that stuff's so embarrassing I could never,初級,名詞,https://youtu.be/-o_vi536bpA?si=YB5Z1ZThQZelDsP5,耳かきして?!化け物コメントへのペトラの反応
